source,run,config_id,data,feature_set,seed,split_seed,split_strategy,candidate_offset,train_max_samples,n_train_full,n_train_used,n_val,n_test,epochs,name,hidden_dims,batch_size,lr,dropout,weight_decay,embed_dim_cap,n_params,best_val_epoch,train_mse,val_mse,test_mse,train_rmse,val_rmse,test_rmse,train_mdape,val_mdape,test_mdape,train_acc_pct,val_acc_pct,test_acc_pct,train_mse_last,val_mse_last,test_mse_last,train_rmse_last,val_rmse_last,test_rmse_last,train_mdape_last,val_mdape_last,test_mdape_last,train_acc_pct_last,val_acc_pct_last,test_acc_pct_last,seconds
sweep_deep_test,1,0ed7a41ec9,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,wide3,"1024,1024,512",2048,0.004,0.0,1e-06,64,1906905,15,0.11054357528686523,0.1364310911432274,0.1411242157230809,0.332480939734694,0.3693657958490843,0.3756650312753117,0.19968299567699432,0.21053628623485565,0.21010440587997437,80.03170043230057,78.94637137651443,78.98955941200256,0.11054357528686523,0.1364310911432274,0.1411242157230809,0.332480939734694,0.3693657958490843,0.3756650312753117,0.19968299567699432,0.21053628623485565,0.21010440587997437,80.03170043230057,78.94637137651443,78.98955941200256,35.2
sweep_deep_test,2,52f85c2f38,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,deep4,"512,256,128,64",8192,0.002,0.2,0.0001,32,351233,14,0.3182461706542969,0.379972891568364,0.4934996830445493,0.5641331143039707,0.6164194120632185,0.7024953259948064,0.27588096261024475,0.278626948595047,0.2780192792415619,72.41190373897552,72.1373051404953,72.19807207584381,0.4003232037353516,0.46179694773397517,0.5531396827353244,0.6327109954278901,0.6795564345468117,0.7437336100616433,0.33177509903907776,0.3339466452598572,0.33320581912994385,66.82249009609222,66.60533547401428,66.67941808700562,21.93
sweep_deep_test,3,3d771e0480,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,huge3,"2048,1024,512",8192,0.004,0.0,0.0,64,3060953,15,0.23986712036132812,0.2902270112294289,0.3069449991376547,0.4897623100661464,0.5387272141162249,0.5540261718887066,0.2713675796985626,0.2737143933773041,0.27282530069351196,72.86324203014374,72.62856066226959,72.7174699306488,0.23986712036132812,0.2902270112294289,0.3069449991376547,0.4897623100661464,0.5387272141162249,0.5540261718887066,0.2713675796985626,0.2737143933773041,0.27282530069351196,72.86324203014374,72.62856066226959,72.7174699306488,44.96
sweep_deep_test,4,3dc1c4fa9c,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,huge3,"2048,1024,512",4096,0.001,0.0,0.0001,64,3060953,15,0.14910026794433595,0.1810430910312737,0.19251493534152359,0.3861350384830881,0.4254915874976539,0.4387652394407784,0.22160089015960693,0.22500793635845184,0.22487549483776093,77.8399109840393,77.49920636415482,77.51245051622391,0.14910026794433595,0.1810430910312737,0.19251493534152359,0.3861350384830881,0.4254915874976539,0.4387652394407784,0.22160089015960693,0.22500793635845184,0.22487549483776093,77.8399109840393,77.49920636415482,77.51245051622391,44.95
sweep_deep_test,5,401cde1db8,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,wide3,"1024,1024,512",1024,0.001,0.2,0.0001,64,1906905,11,0.13657080642700195,0.16142621962395642,0.16786573488505765,0.36955487606984966,0.4017788192823962,0.4097142112315091,0.22560349106788635,0.23011654615402222,0.22942090034484863,77.43965089321136,76.98834538459778,77.05790996551514,0.16133185577392578,0.18542390929333977,0.18848606619578112,0.40166136953150694,0.4306087659271926,0.43414981998819385,0.23995353281497955,0.2445637732744217,0.24328447878360748,76.00464671850204,75.54362267255783,75.67155212163925,46.52
sweep_deep_test,6,9b6b8525f6,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,deep6,"1024,512,512,256,128,64",1024,0.003,0.1,1e-06,32,1178113,5,0.23697940734863282,0.2767564437361435,0.30471851894562824,0.48680530743679534,0.5260764618723627,0.5520131510622082,0.2745921015739441,0.2783765196800232,0.2777899205684662,72.54078984260559,72.16234803199768,72.22100794315338,3.0028185546875,3.0292057574581506,3.0304009682439164,1.7328642632034108,1.7404613633913713,1.7408046898615355,0.8162910342216492,0.8167704939842224,0.816562831401825,18.370896577835083,18.32295060157776,18.343716859817505,39.55
sweep_deep_test,7,007525e208,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,huge3,"2048,1024,512",2048,0.001,0.0,0.0001,64,3060953,15,0.12220955200195313,0.14752097042045334,0.15282184261849843,0.34958482804886304,0.38408458758514813,0.39092434385504626,0.20457325875759125,0.21117539703845978,0.21069541573524475,79.54267412424088,78.88246029615402,78.93045842647552,0.12220955200195313,0.14752097042045334,0.15282184261849843,0.34958482804886304,0.38408458758514813,0.39092434385504626,0.20457325875759125,0.21117539703845978,0.21069541573524475,79.54267412424088,78.88246029615402,78.93045842647552,44.79
sweep_deep_test,8,179daea928,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,deep4,"512,256,128,64",2048,0.003,0.0,0.001,32,351233,15,0.12894868438720702,0.16431992012170832,0.1765998951765935,0.3590942555753392,0.4053639353984371,0.4202379030699081,0.20815086364746094,0.21480993926525116,0.21340595185756683,79.1849136352539,78.51900607347488,78.65940481424332,0.12894868438720702,0.16431992012170832,0.1765998951765935,0.3590942555753392,0.4053639353984371,0.4202379030699081,0.20815086364746094,0.21480993926525116,0.21340595185756683,79.1849136352539,78.51900607347488,78.65940481424332,16.83
sweep_deep_test,9,02e89aff1f,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,deep6,"1024,512,512,256,128,64",1024,0.001,0.0,0.0,32,1178113,15,0.11602510314941407,0.14384986125381766,0.1504730290959333,0.3406245780172272,0.3792754424607763,0.38790853186793056,0.2060660421848297,0.2125197947025299,0.21269316971302032,79.39339578151703,78.74802052974701,78.73068302869797,0.11602510314941407,0.14384986125381766,0.1504730290959333,0.3406245780172272,0.3792754424607763,0.38790853186793056,0.2060660421848297,0.2125197947025299,0.21269316971302032,79.39339578151703,78.74802052974701,78.73068302869797,31.41
sweep_deep_test,10,a10026654d,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,big4,"1024,512,256,128",1024,0.002,0.1,0.0,64,1021145,13,0.13392374603271484,0.15697245625538644,0.16371498494951578,0.36595593455047953,0.39619749652841885,0.40461708435200283,0.23186556994915009,0.2379690259695053,0.23810043931007385,76.81344300508499,76.20309740304947,76.18995606899261,0.19482584411621093,0.2188546826868183,0.22523431453647416,0.4413908065605931,0.4678190704608121,0.4745885739632531,0.27609336376190186,0.28200650215148926,0.2812926173210144,72.39066362380981,71.79934978485107,71.87073826789856,29.94
sweep_deep_test,11,1d56865440,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,wide3,"1024,1024,512",1024,0.001,0.1,0.0005,128,1906905,15,0.1212438217163086,0.14688182980057085,0.15517096619952123,0.3482008353182235,0.3832516533566044,0.3939174611508371,0.20676109194755554,0.2131708562374115,0.21190014481544495,79.32389080524445,78.68291437625885,78.8099855184555,0.1212438217163086,0.14688182980057085,0.15517096619952123,0.3482008353182235,0.3832516533566044,0.3939174611508371,0.20676109194755554,0.2131708562374115,0.21190014481544495,79.32389080524445,78.68291437625885,78.8099855184555,40.39
sweep_deep_test,12,12ad420dbe,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,deep4,"512,256,128,64",8192,0.004,0.2,1e-05,128,451801,13,0.22494684295654296,0.26449982010318296,0.27939063463605546,0.474285613271732,0.5142954599286124,0.5285741524479375,0.2500559985637665,0.2513498067855835,0.2498348504304886,74.99440014362335,74.86501932144165,75.01651495695114,0.31628081420898435,0.35610780181202545,0.3752888121803225,0.5623884904663184,0.596747686892899,0.6126082044670333,0.31771448254585266,0.3210676908493042,0.31969770789146423,68.22855174541473,67.89323091506958,68.03022921085358,20.11
sweep_deep_test,13,1136c52d3f,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,deep4,"512,256,128,64",4096,0.003,0.05,1e-06,128,451801,15,0.1647202996826172,0.20186565422860522,0.21839066564019993,0.4058574869121145,0.44929461851729896,0.46732287087216257,0.22933118045330048,0.2335054874420166,0.23167644441127777,77.06688195466995,76.64945125579834,76.83235555887222,0.1647202996826172,0.20186565422860522,0.21839066564019993,0.4058574869121145,0.44929461851729896,0.46732287087216257,0.22933118045330048,0.2335054874420166,0.23167644441127777,77.06688195466995,76.64945125579834,76.83235555887222,20.45
sweep_deep_test,14,1e464ad2c3,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,huge3,"2048,1024,512",8192,0.002,0.1,0.0005,64,3060953,15,0.25009291015625,0.30551877692899215,0.33952372407737763,0.5000929015255565,0.5527375298719929,0.5826866431259409,0.26177504658699036,0.2617016136646271,0.26224926114082336,73.82249534130096,73.82983863353729,73.77507388591766,0.25009291015625,0.30551877692899215,0.33952372407737763,0.5000929015255565,0.5527375298719929,0.5826866431259409,0.26177504658699036,0.2617016136646271,0.26224926114082336,73.82249534130096,73.82983863353729,73.77507388591766,49.58
sweep_deep_test,15,b82f621070,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,wide3,"1024,1024,512",1024,0.003,0.05,0.001,32,1793025,15,0.11214921340942383,0.1418556132822354,0.14568646256906928,0.33488686658246813,0.37663724362074896,0.38168896050196327,0.20040853321552277,0.21081510186195374,0.20958510041236877,79.95914667844772,78.91848981380463,79.04148995876312,0.11214921340942383,0.1418556132822354,0.14568646256906928,0.33488686658246813,0.37663724362074896,0.38168896050196327,0.20040853321552277,0.21081510186195374,0.20958510041236877,79.95914667844772,78.91848981380463,79.04148995876312,44.75
sweep_deep_test,16,08f62f48f9,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,big4,"1024,512,256,128",8192,0.003,0.0,1e-06,64,1021145,15,0.23947377319335938,0.28787525395916724,0.32423221325712176,0.48936057584705306,0.5365400767502528,0.5694139208494308,0.2652803957462311,0.2664587199687958,0.26577386260032654,73.47196042537689,73.35412800312042,73.42261373996735,0.23947377319335938,0.28787525395916724,0.32423221325712176,0.48936057584705306,0.5365400767502528,0.5694139208494308,0.2652803957462311,0.2664587199687958,0.26577386260032654,73.47196042537689,73.35412800312042,73.42261373996735,27.14
sweep_deep_test,17,40fb49bc1a,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,wide3,"1024,1024,512",1024,0.002,0.1,1e-06,64,1906905,14,0.12030797744750976,0.14276468172581522,0.14642148493710325,0.3468544038173795,0.3778421386317508,0.3826506042555052,0.21023119986057281,0.21975871920585632,0.2195919007062912,78.97688001394272,78.02412807941437,78.04080992937088,0.1789005044555664,0.20132375089659868,0.20285370131641584,0.42296631598221435,0.44869115312940894,0.45039283000111785,0.29890623688697815,0.3074631094932556,0.3080293834209442,70.10937631130219,69.25368905067444,69.19706165790558,42.82
sweep_deep_test,18,434c70d32a,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,wide3,"1024,1024,512",2048,0.004,0.0,0.0005,128,1906905,15,0.10965375656127929,0.13547081416680576,0.14064040526935442,0.33114008600783945,0.36806360070890703,0.37502053979662825,0.195964053273201,0.20664669573307037,0.20677456259727478,80.4035946726799,79.33533042669296,79.32254374027252,0.10965375656127929,0.13547081416680576,0.14064040526935442,0.33114008600783945,0.36806360070890703,0.37502053979662825,0.195964053273201,0.20664669573307037,0.20677456259727478,80.4035946726799,79.33533042669296,79.32254374027252,37.68
sweep_deep_test,19,88e3ec05ca,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,huge4,"2048,1024,512,256",2048,0.004,0.2,1e-06,32,3051521,15,0.5204392004394531,0.5231463007380451,0.5250869688029166,0.7214147215294772,0.7232885321488549,0.7246288489998978,0.46294811367988586,0.46369627118110657,0.4640582799911499,53.705188632011414,53.63037288188934,53.59417200088501,0.5204392004394531,0.5231463007380451,0.5250869688029166,0.7214147215294772,0.7232885321488549,0.7246288489998978,0.46294811367988586,0.46369627118110657,0.4640582799911499,53.705188632011414,53.63037288188934,53.59417200088501,61.54
sweep_deep_test,20,d596528bb0,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,deep6,"1024,512,512,256,128,64",2048,0.0015,0.05,0.001,128,1291993,15,0.1385589254760742,0.16630020382335506,0.17408577651798904,0.3722350406343742,0.40779921998865454,0.4172358763553166,0.21776701509952545,0.2217542678117752,0.22114671766757965,78.22329849004745,77.82457321882248,77.88532823324203,0.1385589254760742,0.16630020382335506,0.17408577651798904,0.3722350406343742,0.40779921998865454,0.4172358763553166,0.21776701509952545,0.2217542678117752,0.22114671766757965,78.22329849004745,77.82457321882248,77.88532823324203,39.23
sweep_deep_test,21,42dd1006b1,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,deep6,"1024,512,512,256,128,64",8192,0.001,0.0,0.0,128,1291993,15,0.3107293176269531,0.3631493216751079,0.5211643953522201,0.5574309980858196,0.6026187199839612,0.7219171665449022,0.2668963372707367,0.26857250928878784,0.26912903785705566,73.31036627292633,73.14274907112122,73.08709621429443,0.3107293176269531,0.3631493216751079,0.5211643953522201,0.5574309980858196,0.6026187199839612,0.7219171665449022,0.2668963372707367,0.26857250928878784,0.26912903785705566,73.31036627292633,73.14274907112122,73.08709621429443,30.68
sweep_deep_test,22,875b518b79,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,wide3,"1024,1024,512",8192,0.0015,0.0,0.0001,64,1906905,15,0.22361575164794922,0.2730980158040911,0.30966669891388043,0.4728802720012215,0.5225878067885732,0.5564770425757746,0.25510478019714355,0.2554352879524231,0.2542659640312195,74.48952198028564,74.45647120475769,74.57340359687805,0.22361575164794922,0.2730980158040911,0.30966669891388043,0.4728802720012215,0.5225878067885732,0.5564770425757746,0.25510478019714355,0.2554352879524231,0.2542659640312195,74.48952198028564,74.45647120475769,74.57340359687805,33.0
sweep_deep_test,23,f9a3d9e9ca,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,wide3,"1024,1024,512",4096,0.002,0.05,0.0,32,1793025,15,0.172100478515625,0.2119347816112309,0.22511687936398986,0.41484994698761263,0.46036374923665624,0.474464834696935,0.23394599556922913,0.23716047406196594,0.23509886860847473,76.60540044307709,76.2839525938034,76.49011313915253,0.172100478515625,0.2119347816112309,0.22511687936398986,0.41484994698761263,0.46036374923665624,0.474464834696935,0.23394599556922913,0.23716047406196594,0.23509886860847473,76.60540044307709,76.2839525938034,76.49011313915253,39.14
sweep_deep_test,24,c45cf36a22,ann_tensors.pt,,42,42,random,344,50000,418549,50000,89689,89690,15,deep4,"512,256,128,64",4096,0.001,0.0,1e-06,64,451801,15,0.23246687561035156,0.2765528578485447,0.3409489660893599,0.4821481884341697,0.5258829316953961,0.5839083541869904,0.24747732281684875,0.25191375613212585,0.25138071179389954,75.25226771831512,74.80862438678741,74.86192882061005,0.23246687561035156,0.2765528578485447,0.3409489660893599,0.4821481884341697,0.5258829316953961,0.5839083541869904,0.24747732281684875,0.25191375613212585,0.25138071179389954,75.25226771831512,74.80862438678741,74.86192882061005,19.94
